configurations,end_price,image_urls,img_url,model,start_price
"FX506HCB-HN200,FX506HCB-HN161W,FX506HCB-HN161",37999,https://s.ek.ua/jpg/2094387.jpg,https://s.ek.ua/jpg/2094387.jpg,Asus TUF Gaming F15 FX506HCB,29700
"82JS0018PB,82JS001BPB,82JS0019PB,82JS001APB,82JS0016PB,82JS001CPB,82JS0017PB",47899,https://s.ek.ua/jpg/2058390.jpg,https://s.ek.ua/jpg/2058390.jpg,Lenovo Legion 5 Pro 16ACH6,38922
"82KD002URA,82KD002TRA",22499,https://s.ek.ua/jpg/2068639.jpg,https://s.ek.ua/jpg/2068639.jpg,Lenovo V15 G2 ALC,15999
"FX516PM-HN198,FX516PM-HN180W,FX516PM-HN130T,FX516PM-HN129T,FX..M-211.TF15",57800,https://s.ek.ua/jpg/1958416.jpg,https://s.ek.ua/jpg/1958416.jpg,Asus TUF Dash F15 FX516PM,41440
"82N60076PB,82N60077PB,82N60079PB",63999,https://s.ek.ua/jpg/2015161.jpg,https://s.ek.ua/jpg/2015161.jpg,Lenovo Legion 7 16ACHg6,55999
"GF66 11UC-453US,GF66 11UC-014BE,GF..1UC-865XPL,GF66 11UC-454US,GF..1UC-864XPL,GF66 11UC-011NL",53188,https://s.ek.ua/jpg/2034982.jpg,https://s.ek.ua/jpg/2034982.jpg,MSI Katana GF66 11UC,33057
"639XUA,285XUA,491XPL,609XUA,081UK",68196,https://s.ek.ua/jpg/2034980.jpg,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,41769
"245XPL,274XUA",57395,https://s.ek.ua/jpg/2034983.jpg,https://s.ek.ua/jpg/2034983.jpg,MSI Katana GF76 11UE,44268
"82KC003NRA,82KC003JRA,82KC003HRA",24534,https://s.ek.ua/jpg/2046417.jpg,https://s.ek.ua/jpg/2046417.jpg,Lenovo V14 G2 ALC,17000
"461XPL,209XPL,610XUA,218CZ,261NL",81118,https://s.ek.ua/jpg/2035230.jpg,https://s.ek.ua/jpg/2035230.jpg,MSI Katana GF66 11UG,52029
"i5..2GB/Iris X,i7..12GB/MX450",39999,https://s.ek.ua/jpg/1996208.jpg,https://s.ek.ua/jpg/1996208.jpg,Xiaomi RedmiBook Pro 15,29999
UM425QA-KI080,34733,https://s.ek.ua/jpg/1971045.jpg,https://s.ek.ua/jpg/1971045.jpg,Asus ZenBook 14 UM425QA,33999
